id,nombre,direccion,tipo_actividad,recoleccion,telefono,email,responsable_ambiente,cuit,sector,localidad_id
176,MEDICINA LABORAL SAN CAMILO,Mitre 650,Laboratorio de análisis clínicos,DIARIA,4472117,bioclin@speedy.com.ar,Buschittari Viviana,,,2
177,MEDISUR  MUTUAL,Mosconi 187,Farmacia,3 X SEMANA,4457260,s/d,Fortunato Abrany,,,2
178,MEDLAB,B.Mitre 632,Laboratorio de análisis clínicos,DIARIA,154341451,buschittari@hotmail.com,Buschittari Viviana,,,2
179,MONTAÑO MARCELA,Mitre 880,Consultorio médico,3 X SEMANA,154562404,s/d,Montaño Marcela,,,2
180,N Y K ODONTOLOGIA,Mitre 675,Consultorio odontológico,3 X SEMANA,154696126,kv_martin@hotmail.com,Martin Karina,,,2
181,NEXO MEDICINA LABORAL S.H.,Domecq García Norte 37,Consultorio médico,3 X SEMANA,4454298,s/d,Cuello Gustavo ,,,2
182,ODONTAR,Av. Roca 353 local 4 Piso 7,Consultorio odontológico,3 X SEMANA,4470124,s/d,Fernandez Gisela Edith,,,2
183,ODONTOLOGIA ADRIAN GARCIA,Estivariz 245,Consultorio odontológico,3 X SEMANA,4455645,s/d,Garcia José Adrian ,,,2
184,ODONTOLOGIA GALES ,Av. Roca 791,Consultorio odontológico,3 X SEMANA,154653202,ivinf@yahoo.com.ar,Fernandez Ivana Noemi ,,,2
185,ODONTOLOGIA GENERAL,Av. Roca 353. Piso 2. Cons. 3,Consultorio médico,3 X SEMANA,4455328,magdamadryn@hotmail.com,Ellert Magda Ingrid,,,2
186,ODONTOLOGIA MADRYN,25 de Mayo 786,Consultorio odontológico,3 X SEMANA,154402289,s/d,Ortiz Gonzalo,,,2
187,ODONTOLOGIA MADRYN,25 de Mayo 786,Consultorio odontológico,3 X SEMANA,4457407,odontologiamadryn1@gmail.com,Ortiz Gonzalo,,,2
188,OFTALMOMADRYN ,25 de Mayo 560,Consultorio médico oftalmologico,DIARIA,4471282,kagringuita@yahoo.com.ar,Chavez Raraz Quiniano,,,2
189,PCM KINESIOLOGIA PISCIUM s.r.l,Sarmiento 151,Kinesiología,3 X SEMANA,154503868,s/d,Moretta Gustavo,,,2
190,QUINTAS DEL MIRADOR,Los Aromos 2525,Hogar de ancianos,3 X SEMANA,154022578,s/d,Liranzo Peralta Ana Julia,,,2
191,RADIOLOGIA DIGITAL,25 de Mayo 364. 1ºPiso. Of. 3,Centro de diagnóstico,3 X SEMANA,4455539,s/d,Reule Carolina,,,2
192,RAZA TATTOO AND PIERCING,Roque S. Peña 172 Local 5,Tatuajes,3 X SEMANA,154613838,s/d,Muñoz Victor Antonio,,,2
193,RUIZ - HECK LABORATORIO DE ANALISIS CLINICO,España 6,Laboratorio de análisis clínicos,DIARIA,4450709,labruiz-heck@hotmail.com,Ruiz Ana Maria,,,2
194,SALK S.R.L,Marcos A. Zar 398,Farmacia,3 X SEMANA,154450857,s/d,Cecchi Ponzi Carolina,,,2
195,SALUD ODONTOLOGIA,Juan B. Justo 834,Consultorio odontológico,3 X SEMANA,154190352,drmereles@hotmail.com,Mereles Cristian Rubén,,,2
196,SAN IGNACIO S.R.L.,Reconquista 651,Psiquiatría,3 X SEMANA,4471661 - 154661824,san-ignacio@speedy.com.ar,Cogliandro Roberto ,,,2
197,SANATORIO DE LA CIUDAD SRL ,Laprida 42,Clínica,DIARIA,4451270 - 154406526,gerenciasnciudad@speedy.com.ar - snciudad@speedy.com.ar,Kanter Marcelo Luis ,,,2
198,SEP SRL,Sarmiento 125,Consultorio médico,DIARIA,154660895,marcelovaccaro2000@yahoo.com.ar,Vaccaro Marcelo Fabian,,,2
199,SERFARMA,España 914,Farmacia,3 X SEMANA,4458515,serfarmapm@gmail.com,Pritchard Esteban Marcos,,,2
200,SERVICIO RADIOLOGICO SEP,Sarmiento 125,Servicios radiológicos,3 X SEMANA,154649629,s/d,Arballo Fabian,,,2
201,SINDICATO DE EMPLEADOS DE COMERCIO ,Fuerte San Jose 346,Consultorio médico,DIARIA,4470344- 4472423,robertocasanoba58@hotmail.com,Smit Guillermo Luis,,,2
202,TALIERCIO THELMA NATALIA,Av.Roca 353 PB Of. 8,Consultorio odontológico,3 X SEMANA,154196266,s/d,Taliercio Thelma Natalia,,,2
203,TEMPESTA - FIORENZA,28 de Julio 173 PB,Consultorio odontológico,3 X SEMANA,221-155628581,s/d,Tempesta Rodrigo,,,2
204,UTHAGRA,Gob. Maiz 516,Consultorio Médico,3 X SEMANA,4452893,s/d,Rosales Patricio - Dignoti Maria Belen,,,2
205,VALLE SOL,Quintas del Mirador - Calafate 3980,Hogar de ancianos,DIARIA,154882208,s/d,Liranzo Peralta Ana Julia,,,2
206,VERA AGUSTINA MARCIA,San Martín 286,Psicología,3 X SEMANA,154205483,s/d,Vera Agustina Marcia,,,2
207,VETERINARIA DR. MIÑONES,Mitre 463,Veterinaria,3 X SEMANA,4472410,s/d,Miñones Jose Alberto ,,,2
208,VETERINARIA EL QUEBRACHO ,Domecq Garcia 317,Veterinaria,3 X SEMANA,154416679,gparodi@speedy.com.ar,Parodi Guillermo ,,,2
209,VETERINARIA HOCICOS Y BIGOTES,Juan B. Justo 1576,Veterinaria,3 X SEMANA,154563353,4470656,Bracchi Daniel ,,,2
210,VETERINARIA HOCICOS Y BIGOTES 2,Albarracin 375,Veterinaria,3 X SEMANA,154563353,s/d,Bracchi  Daniel,,,2
211,VETERINARIA LUAN,H. Yrigoyen 925,Veterinaria,3 X SEMANA,154580309,s/d,Escobar Milner Sol Ena,,,2
212,VETERINARIA PASTEUR,Fournier 1385,Veterinaria,3 X SEMANA,154351869,s/d,Fernandez Malvina Brenda,,,2
213,VETERINARIA PEUMAYEN,Zampa 2385,Veterinaria,3 X SEMANA,154583472,s/d,Wolawsky Marina,,,2
214,VETERINARIA SAN CARLOS,Albarracin 375,Veterinaria,3 X SEMANA,154606841,silviacabezon@yahoo.com.ar,Cabezon Silvia Josefina,,,2
215,VETERINARIA VIDAL,San Martin 998,Veterinaria,3 X SEMANA,4471790,jhonyvidal@yahoo.com.ar,Vidal Davila Jhony Riderth,,,2
216,VETERNIARIA VIDAL,Av. Roca 1143,Veterinaria,3 X SEMANA,4471790,s/d,Ortiz Lorena Vanesa,,,2
217,VIRTUAL,25 de Mayo 725,Consultorio médico,DIARIA,4471498,dravizcay@hotmail.com,Vizcay Vivian,,,2
218,VITALIS PUERTO MADRYN,Av. Roca 1024 lc. 2,Consultorio odontologico,3 X SEMANA,4453644,s/d,Amieva Mariela Soledad,,,2
219,ZOO VITAL,s/d,Veterinaria,3 X SEMANA,s/d,s/d,Alemán Mayra ,,,2
220,SERVICIOS VETERINARIOS,25 DE MAYO Nº 1588,VETERINARIA,3 X SEMANA,,,,,,1
221,FARMACIA CENTRAL,25 DE MAYO Nº1116,FARMACIAS,3 X SEMANA,,,,,,1
222,FARMACIA QUEROL,25 DE MAYO Nº401,FARMACIAS,3 X SEMANA,,,,,,1
223,PERIF. ABEL AMAYA,25 DE MAYO Y GASTRE NORTE,CENTROS DE SALUD,3 X SEMANA,,,,,,1
224,ARCADIA,28 DE JULIO 371,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
225,EVANS OSVALDO JAVIER,28 DE JULIO 484,ODONTÓLOGOS,3 X SEMANA,,,,,,1
226,SONEYRA RAUL,28 DE JULIO 527,ODONTÓLOGOS,3 X SEMANA,,,,,,1
227,LLOYD CRISTIAN,28 DE JULIO 548,ODONTÓLOGOS,3 X SEMANA,,,,,,1
228,ALTUNA MARIO,28 DE JULIO 548 (CENTRO ESTETICA ODONTOLOGICA),ODONTÓLOGOS,3 X SEMANA,,,,,,1
229,PFISTER FABIANA,28 DE JULIO 553,ODONTÓLOGOS,3 X SEMANA,,,,,,1
230,LADIAC,28 DE JULIO 613,LABORATORIO,DIARIA,,,,,,1
231,VILLANI CARLOS ANGEL,28 DE JULIO 623,ODONTÓLOGOS,3 X SEMANA,,,,,,1
232,VILLANI MARCELO-BOTELA CECILIA,28 DE JULIO 629,ODONTÓLOGOS,3 X SEMANA,,,,,,1
233,STICCO ABEL,28 DE JULIO 708,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
234,DENTO IMAGEN S.H.,28 DE JULIO 708,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
235,ARCE AIDA ESTER,28 DE JULIO 784,ODONTÓLOGOS,3 X SEMANA,,,,,,1
236,PEREZ PATRICIA,28 DE JULIO 793,ODONTÓLOGOS,3 X SEMANA,,,,,,1
237,HOSPITAL ZONAL TRELEW,28 DE JULIO Nº 140,HOSPITAL,DIARIA,,,,,,1
238,COOP. ELECTRICA DE TW. (SEPELIO),28 DE JULIO Nº 1860,VARIOS,3 X SEMANA,,,,,,1
239,CONSULTORIOS EXTERNOS (H.Z.T.),28 DE JULIO Nº 434,HOSPITAL,DIARIA,,,,,,1
240,STAGNITTA GRACIELA,28 DE JULIO Nº 527,ODONTÓLOGOS,3 X SEMANA,,,,,,1
241,FARMACIA YRIGOYEN,28 DE JULIO Nº 660,FARMACIAS,3 X SEMANA,,,,,,1
242,DE MORENO MARISA,28 DE JULIO Nº 702,ODONTÓLOGOS,3 X SEMANA,,,,,,1
243,CARDOSO CRISTINA,28 DE JULIO Nº 708,VARIOS,3 X SEMANA,,,,,,1
244,LEYRIA FERNANDO,28 DE JULIO Nº 784,ODONTÓLOGOS,3 X SEMANA,,,,,,1
245,ROBERTO MARTINEZ,28 DE JULIO Nº 831,LABORATORIO,DIARIA,,,,,,1
246,QUIROGA LILIANA,28 DE JULIO Nº527,ODONTÓLOGOS,3 X SEMANA,,,,,,1
247,CONTINI HECTOR,28 DE JULIO Nº553,ODONTÓLOGOS,3 X SEMANA,,,,,,1
248,FARMACIA ADOS,28 DE JULIO Nº722,FARMACIAS,3 X SEMANA,,,,,,1
249,ENFERMERIA FLEMING,9 DE JULIO 427,ENFERMERÍAS,3 X SEMANA,,,,,,1
250,LOSTRA OSCAR,9 DE JULIO 742,ODONTÓLOGOS,3 X SEMANA,,,,,,1
251,SANCHEZ CORDI MARIANO,9 DE JULIO 742,ODONTÓLOGOS,3 X SEMANA,,,,,,1
252,DA FONSECA PABLO,9 DE JULIO 772,ODONTÓLOGOS,3 X SEMANA,,,,,,1
253,CUART ORLANDO GABRIEL,9 DE JULIO 772,ODONTÓLOGOS,3 X SEMANA,,,,,,1
254,CEMOD,9 DE JULIO Nº 128-LOC 2,VARIOS,3 X SEMANA,,,,,,1
255,CLINICA VETERINARIA DEL SUR GUSTAVO TALAVERA,9 DE JULIO Nº 138,VETERINARIA,3 X SEMANA,,,,,,1
256,CUERPO MEDICO FORENSE (ZARATE),9 DE JULIO Nº 261,VARIOS,3 X SEMANA,,,,,,1
257,ADMINISTRACION JUDICIAL TRELEW (SECUESTROS),9 DE JULIO Nº 261 2º PISO,VARIOS,3 X SEMANA,,,,,,1
258,MINIST.PUB.FISCAL(SECUESTROS BIOLOGICOS),9 DE JULIO Nº 261 2º PISO,VARIOS,3 X SEMANA,,,,,,1
259,BALUL LEILA,9 DE JULIO Nº 772,ODONTÓLOGOS,3 X SEMANA,,,,,,1
260,FARMACIA ANIKA,9 DE JULIO Y MITRE,FARMACIAS,3 X SEMANA,,,,,,1
261,TENOVSKI MONICA,A P BELL 655,VARIOS,3 X SEMANA,,,,,,1
262,LIMA CRISTIAN,A.P.BELL Nº 702,ODONTÓLOGOS,3 X SEMANA,,,,,,1
263,CENTRO DE ESPEC. MEDICAS Y ODONTOLOGICAS,ALBERDI Nº 466,ODONTÓLOGOS,3 X SEMANA,,,,,,1
264,LUXOR S.R.L.,ALEM Nº 325,CENTROS DE SALUD,3 X SEMANA,,,,,,1
265,COLANTONIO LEANDRO,ALEM Nº 825 (ENTRE CARRASCO Y MUZIO),ODONTÓLOGOS,3 X SEMANA,,,,,,1
266,PERIF. VILLA ITALIA,ALEM Y LOVE PARRI,CENTROS DE SALUD,3 X SEMANA,,,,,,1
267,DIAGNÓSTICO CARDIOVASCULAR,AMEGHINO N°264,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
268,FRACASSO AMELA,AMEGHINO N°275,ODONTÓLOGOS,3 X SEMANA,,,,,,1
269,DAYLOPLAS DE JOSE LUIS SUAREZ,AMEGHINO N°375,PODOLOGOS,3 X SEMANA,,,,,,1
270,S.A.P.P. S.R.L.,AMEGHINO N°447,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
271,AUSTRAL,AMEGHINO N°447,LABORATORIO,DIARIA,,,,,,1
272,VETERINARIA CANTO,AMEGHINO N°473,VETERINARIA,3 X SEMANA,,,,,,1
273,MEDICINA NUCLEAR S.R.L.,AMEGHINO N°474 1º PISO,ENFERMERÍAS,3 X SEMANA,,,,,,1
274,NATIVUS S.R.L,AMEGHINO N°902 ESQ. LIBERTAD,CLINICAS Y SANAT.,DIARIA,,,,,,1
275,PERIF. ETCHEPARE,ARTIGAS Y CAMBRIN,CENTROS DE SALUD,3 X SEMANA,,,,,,1
276,BIANCOTTI-BONAFINA,AV. GALES 323,ODONTÓLOGOS,3 X SEMANA,,,,,,1
277,FARMACIA CHANGO MAS (WALMART S.R.L),AVDA. EVA PERÓN Nº719,FARMACIAS,3 X SEMANA,,,,,,1
278,LOPEZ JULIAN MARINO,AVENIDA RAWSON Nº 423,ODONTÓLOGOS,3 X SEMANA,,,,,,1
279,SOLIVELLA MARIA SILVIA,Bª LOS MIMBRES-CHACRA 86,PODOLOGOS,3 X SEMANA,,,,,,1
280,KRISTOFIS CLAUDIA,BELGRANO N° 240 2° B,ODONTÓLOGOS,3 X SEMANA,,,,,,1
281,GIL GUERRERO FRANCISCO,"BELGRANO N° 240 2º ""A""",ODONTÓLOGOS,3 X SEMANA,,,,,,1
282,CASTAN PABLO,BELGRANO N° 525,ODONTÓLOGOS,3 X SEMANA,,,,,,1
283,FESTA ROBERTO,BELGRANO N° 558,PODOLOGOS,3 X SEMANA,,,,,,1
284,CICCIA ADRIAN,BELGRANO N° 586,ODONTÓLOGOS,3 X SEMANA,,,,,,1
285,MAIRAL EDUARDO,BELGRANO N° 618,ODONTÓLOGOS,3 X SEMANA,,,,,,1
286,NEUROCIENCIA S.A,BELGRANO N°1008 ESQ      RONDEAU,CLINICAS Y SANAT.,DIARIA,,,,,,1
287,CONSULTORIOS CABOT DE CALANDRIA JOSÉ,BELGRANO N°1097,CLINICAS Y SANAT.,DIARIA,,,,,,1
288,NAZAR MARIA CRISTINA,BOLIVIA 662 EX 30,OTALMOLOGOS,3 X SEMANA,,,,,,1
289,PERIF. CORRADI,BURMEISTER Y PASCUAL DALEOSO,CENTROS DE SALUD,3 X SEMANA,,,,,,1
290,VALENCIA ELISA,CABOT 410,ODONTÓLOGOS,3 X SEMANA,,,,,,1
291,CIMADEVILLA MARIANA,CABOT 684,ODONTÓLOGOS,3 X SEMANA,,,,,,1
292,VETERINARIA YOPPEN,CABOT Nº 680,VETERINARIA,3 X SEMANA,,,,,,1
293,GALIANO DANIEL,CAMBRIN 1562,VARIOS,3 X SEMANA,,,,,,1
294,ORBUJ ALDO,CAMBRYN Y BELGRANO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
295,PERIF. SAN MARTIN,CARLOS GARDEL Y SOLDADO ORTEGA,CENTROS DE SALUD,3 X SEMANA,,,,,,1
296,LOCATELLI  NICOLAS LUCIANO,CENTENARIO 51,ODONTÓLOGOS,3 X SEMANA,,,,,,1
297,PEREYRA PABLO,CENTENARIO 51,ODONTÓLOGOS,3 X SEMANA,,,,,,1
298,SALUD MENTAL Y ADICCIONES DEL HOSPITAL ZONAL TW,CHILE 37,CLINICAS Y SANAT.,DIARIA,,,,,,1
299,VETERINARIA DIAGNOVET S.R.L.,CHILE 73,VETERINARIA,3 X SEMANA,,,,,,1
300,MARTINEZ HAYDEE,CHILE Nº 173,ODONTÓLOGOS,3 X SEMANA,,,,,,1
301,GODOY ELSA,CONDARCO Y BROWN,ODONTÓLOGOS,3 X SEMANA,,,,,,1
302,ARANEDA GUSTAVO,DON BOSCO N° 194,ODONTÓLOGOS,3 X SEMANA,,,,,,1
303,LOPEZ RUIZ DIAZ JULIO,DON BOSCO N° 291,ODONTÓLOGOS,3 X SEMANA,,,,,,1
304,BARTELS SERGIO,DON BOSCO N° 291,ODONTÓLOGOS,3 X SEMANA,,,,,,1
305,BRAMUGLIA BETINA,DON BOSCO N° 291,ODONTÓLOGOS,3 X SEMANA,,,,,,1
306,BISCONTI LAURA ANTONELLA,DON BOSCO N° 291,ODONTÓLOGOS,3 X SEMANA,,,,,,1
307,PEREZ ANNA JOSE MAXIMILIANO,DON BOSCO N° 370,ODONTÓLOGOS,3 X SEMANA,,,,,,1
308,PERIF. LA LOMA,ECUADOR Y RAMON Y CAJAL,CENTROS DE SALUD,3 X SEMANA,,,,,,1
309,S.E.C. TRELEW,EDISON 330,VARIOS,3 X SEMANA,,,,,,1
310,GÉNESIS S.H,EDISON N° 430,CLINICAS Y SANAT.,DIARIA,,,,,,1
311,FARMACIA SALK,EDISON Y SAN MARTIN,FARMACIAS,3 X SEMANA,,,,,,1
312,RENTERIA BELTRAN RUBEN,ESPAÑA 270,ODONTÓLOGOS,3 X SEMANA,,,,,,1
313,PERIF. CONSTITUCION,ESTADOS ARABES Y AV.LA PLATA,CENTROS DE SALUD,3 X SEMANA,,,,,,1
314,ACOSTA MONICA,FONTANA 494 ESQ.DON BOSCO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
315,INST.DEL DIAG.DEL ESTE DEL CH.,GALINA 650,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
316,PRC CHUBUT,GALO LOBATO Nº 5003-PARQUE INDUSTRIAL,VARIOS,3 X SEMANA,,,,,,1
317,PERIF. PLANTA DE GAS,HERNANDEZ Y JOSE BARRETA S/N,CENTROS DE SALUD,3 X SEMANA,,,,,,1
318,PAMI,INMIGRANTES N° 122,CLINICAS Y SANAT.,DIARIA,,,,,,1
319,ORIVE STELLA MARIS,INMIGRANTES N° 428,ODONTÓLOGOS,3 X SEMANA,,,,,,1
320,LLARGUES JAVIER,INMIGRANTES N° 490,ODONTÓLOGOS,3 X SEMANA,,,,,,1
321,INSTITUTO DEL CORAZÓN DEL RÍO DE LA PLATA S.A,INMIGRANTES N° 50,CLINICAS Y SANAT.,DIARIA,,,,,,1
322,TREMED S.R.L.,INMIGRANTES N° 50,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
323,PUGH RICARDO,INMIGRANTES N° 53,ODONTÓLOGOS,3 X SEMANA,,,,,,1
324,CARDIAL TRELEW S.R.L,INMIGRANTES N° 567,CTRO. HEMAT. Y HEMODIALISIS,DIARIA,,,,,,1
325,LABORATORIO DE ANATOMÍA PATOLÓGICA,ITALIA,LABORATORIO,DIARIA,,,,,,1
326,LOPEZ BERTA,ITALIA 170,PODOLOGOS,3 X SEMANA,,,,,,1
327,PROSATE S.S,ITALIA Y MORENO,CLINICAS Y SANAT.,DIARIA,,,,,,1
328,AREA PROGRAMATICA TRELEW,ITALIA Y MORENO,CENTROS DE SALUD,3 X SEMANA,,,,,,1
329,ADOS TRELEW,ITALIA Y PJE.JUJUY,VARIOS,3 X SEMANA,,,,,,1
330,ROMBYS NOEMI,JUAN MANUEL DE ROSAS 1639,ODONTÓLOGOS,3 X SEMANA,,,,,,1
331,ZARO PAULA,JULIO A. ROCA 255 OF 4 E/MITRE Y RIVADAVIA-TW,ODONTÓLOGOS,3 X SEMANA,,,,,,1
332,SCHULMAN ALBERTO,JULIO A. ROCA N° 123,LABORATORIO,DIARIA,,,,,,1
333,GOLDARACENA EDUARDO,JULIO A. ROCA N° 204,ODONTÓLOGOS,3 X SEMANA,,,,,,1
334,KRAUS MAURICIO,JULIO A. ROCA N° 253,ODONTÓLOGOS,3 X SEMANA,,,,,,1
335,FALCON MARIA LAURA,JULIO A. ROCA N° 505,ODONTÓLOGOS,3 X SEMANA,,,,,,1
336,CETHA CARDIOVASCULAR S.R.L.,JULIO A. ROCA N° 850,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
337,VETERINARIA PATAGÓNICA-TRELEW,JULIO A. ROCA Nº 1239 (E/URUGUAY Y ENTRE RÍOS),VETERINARIA,3 X SEMANA,,,,,,1
338,RODRIGUEZ SILVIO,JULIO A. ROCA Nº 607,OTALMOLOGOS,3 X SEMANA,,,,,,1
339,UNIVERSIDAD SAN JUAN,JULIO A. ROCA Y BELGRANO,VARIOS,3 X SEMANA,,,,,,1
340,PERIF. DON BOSCO,LOS ANDES NORTE Nº410,CENTROS DE SALUD,3 X SEMANA,,,,,,1
341,RES.GER. PEWEN KUKU S.R.L.,LOTE 2-CHACRA 93 SUR,GERIATRICOS Y ASILOS,3 X SEMANA,,,,,,1
342,VETERINARIA PATAS,MARCONI (N) N° 118,VETERINARIA,3 X SEMANA,,,,,,1
343,FELDMAN SERGIO,MARCONI N° 144,ODONTÓLOGOS,3 X SEMANA,,,,,,1
344,MASSONI NILDA,MARCONI N° 374,LABORATORIO,DIARIA,,,,,,1
345,GOMEZ OSCAR,MARCONI N° 374 Y AMEGHINO 503,CTRO. HEMAT. Y HEMODIALISIS,DIARIA,,,,,,1
346,CLÍNICA SAN PABLO,MARCONI N° 438,CLINICAS Y SANAT.,DIARIA,,,,,,1
347,BOVCON FERNANDO,MARCONI N° 508,ODONTÓLOGOS,3 X SEMANA,,,,,,1
348,BRUNT MAURICIO FABIAN,MARCONI N° 594,ODONTÓLOGOS,3 X SEMANA,,,,,,1
349,SAHAGUN GARCIA,MITRE 604,ODONTÓLOGOS,3 X SEMANA,,,,,,1
350,VETERINARIA LAGO-ARAUJO,MITRE Nº 1131,VETERINARIA,3 X SEMANA,,,,,,1
351,CORIA CAROLINA YOLANDA,MITRE Nº 183,ODONTÓLOGOS,3 X SEMANA,,,,,,1
352,FARMA S.R.L (PATAGÓNICA),MITRE Nº 598,FARMACIAS,3 X SEMANA,,,,,,1
353,VETERINARIA DEL SOL,MITRE Nº 674,VETERINARIA,3 X SEMANA,,,,,,1
354,ISSS,MITRE Y RAWSON,VARIOS,3 X SEMANA,,,,,,1
355,CENTRO VETERINARIO TRELEW,MORENO N° 1479 (ENTRE GALINA Y ARON JENKIS),VETERINARIA,3 X SEMANA,,,,,,1
356,LAC TRELEW S.RL,MORENO N° 326Y CABOT Y BE,LABORATORIO,DIARIA,,,,,,1
357,INSTITUTO MÉDICO DEL SUR,MORENO N° 333,CLINICAS Y SANAT.,DIARIA,,,,,,1
358,ALVAREZ RICARDO,MORENO N° 473,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
359,GRACI GISEL,MORENO N° 473,VARIOS,3 X SEMANA,,,,,,1
360,CENTRO DE DIA,PARAGUAY N° 237,CENTROS DE SALUD,3 X SEMANA,,,,,,1
361,CEMIT S.R.L.,PARAGUAY N° 25,EMERGENCIAS MED.,3 X SEMANA,,,,,,1
362,EMSA SA (SUC TRELEW),PARAGUAY N° 37,VARIOS,3 X SEMANA,,,,,,1
363,ASOCIACIÓN DE SANATORIOS,PARAGUAY N° 74,CLINICAS Y SANAT.,DIARIA,,,,,,1
364,HAMZE JOSE LUIS,PARAGUAY N° 749,ODONTÓLOGOS,3 X SEMANA,,,,,,1
365,ELIAS GUSTAVO ENRIQUE,PARAGUAY N° 749-ROCA 1865-PTO MADRYN,ODONTÓLOGOS,3 X SEMANA,,,,,,1
366,LUNA VICTOR,PECORARO N° 314,VARIOS,3 X SEMANA,,,,,,1
367,SANATORIO TRELEW S.R.L,PECORARO N° 460,CLINICAS Y SANAT.,DIARIA,,,,,,1
368,CAPORALINI   S.A,PECORARO N° 480,LABORATORIO,DIARIA,,,,,,1
369,CENTRO DE PEDICURIA,PECORARO N° 567,PODOLOGOS,3 X SEMANA,,,,,,1
370,VETERINARIA SAN JORGE DE ROXANA GIOVENALE,PECORARO NORTE N° 183,VETERINARIA,3 X SEMANA,,,,,,1
371,FERNANDEZ  ALBERTO  EMILIO,PECORARO Y 9 DE JULIO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
372,FERNANDEZ  ALBERTO  EMILIO,PECORARO Y 9 DE JULIO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
373,TATOO MAX´S TRELEW,PELLEGRINI N° 1326,TATUAJES,3 X SEMANA,,,,,,1
374,FARMACIAS PELLEGRINI,PELLEGRINI N° 1632,FARMACIAS,3 X SEMANA,,,,,,1
375,VETERINARIA CHUBUT,PELLEGRINI N° 1896,VETERINARIA,3 X SEMANA,,,,,,1
376,OSDE BINARIO,PELLEGRINI N° 262,VARIOS,3 X SEMANA,,,,,,1
377,ALANIZ MARIA LAURA,PELLEGRINI N° 278 OFICINA 3,ODONTÓLOGOS,3 X SEMANA,,,,,,1
378,NEW MEDIC S.R.L.,PELLEGRINI N° 504,CLINICAS Y SANAT.,DIARIA,,,,,,1
379,TAC S.A.,PELLEGRINI N° 590,VARIOS,3 X SEMANA,,,,,,1
380,CLÍNICA MÉDICA DEL VALLE,PELLEGRINI N° 631,CLINICAS Y SANAT.,DIARIA,,,,,,1
381,ANTONENA PATRICIA,PELLEGRINI N° 631,CLINICAS Y SANAT.,DIARIA,,,,,,1
382,SCOZZINA JOSE DANIEL,PELLEGRINI N° 631,LABORATORIO,DIARIA,,,,,,1
383,ARAMAYO VALERIA,PELLEGRINI N° 655 ESQUINA PARAGUAY,ODONTÓLOGOS,3 X SEMANA,,,,,,1
384,SEIMANDI LAURA,PELLEGRINI N° 93,ODONTÓLOGOS,3 X SEMANA,,,,,,1
385,SEIMANDI RAUL,PELLEGRINI N° 93,ODONTÓLOGOS,3 X SEMANA,,,,,,1
386,VERWAY JOHANNA,PELLEGRINI N° 93,ODONTÓLOGOS,3 X SEMANA,,,,,,1
387,SPINOSA MARCELA,PERÚ N° 59 CASI SARMIENTO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
388,ALTA COMPLEJIDAD MÉDICA,PJE. CÓRDOBA 479,CLINICAS Y SANAT.,DIARIA,,,,,,1
389,DROGUERIA BRIO S.R.L,PJE. SAN JUAN N° 454,FARMACIAS,3 X SEMANA,,,,,,1
390,ASOC.ODONTOLOGICA DEL N.E.CH.,PJE. SAN LUIS N° 455,ODONTÓLOGOS,3 X SEMANA,,,,,,1
391,FERNANDEZ MARIELA,PJE.SAN JUAN N° 320 2º PISO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
392,28 DE JULIO Nº 702,PJE.SAN JUAN N° 383,ODONTÓLOGOS,3 X SEMANA,,,,,,1
393,"RES. GERIATRICO""LA FAMILIA""",PJE.SAN LUIS NORTE Nº 704 CASA 267,GERIATRICOS Y ASILOS,3 X SEMANA,,,,,,1
394,MOYA CARLOS,PJE.SANTA CRUZ Nº 420,VARIOS,3 X SEMANA,,,,,,1
395,ARANO PATRICIA GRACIELA,RAMON Y CAJAL Nº 795,VETERINARIA,3 X SEMANA,,,,,,1
396,MENDEZ MANUEL MARCELO,"RAWSON Nº 437 1º ""B""",ODONTÓLOGOS,3 X SEMANA,,,,,,1
397,ABDALA ALBERTO,RAWSON Nº 580,VARIOS,3 X SEMANA,,,,,,1
398,MUNICIPALIDAD DE TRELEW,RIVADAVIA N°  390,VARIOS,3 X SEMANA,,,,,,1
399,CAPACCIONI SUSANA,RIVADAVIA N°  668 1º PISO,ODONTÓLOGOS,3 X SEMANA,,,,,,1
400,SCHEMBARI JORGE,RIVADAVIA N° 1005 ESQUINA RONDEAU,ODONTÓLOGOS,3 X SEMANA,,,,,,1
401,FARMACIA PLAZA,RIVADAVIA N° 348,FARMACIAS,3 X SEMANA,,,,,,1
402,CLINICA VETERINARIA DR.GARZON MARIO,RIVADAVIA N° 553,VETERINARIA,3 X SEMANA,,,,,,1
